ISO,Year,TLA
BGR,1964,11063.0
BGR,1965,11063.0
BGR,1966,11063.0
BGR,1967,11063.0
BGR,1968,11063.0
BGR,1969,11063.0
BGR,1970,11063.0
BGR,1971,11063.0
BGR,1972,11063.0
BGR,1973,11063.0
BGR,1974,11063.0
BGR,1975,11063.0
BGR,1976,11063.0
BGR,1977,11063.0
BGR,1978,11063.0
BGR,1979,11063.0
BGR,1980,11063.0
BGR,1981,11063.0
BGR,1982,11063.0
BGR,1983,11063.0
BGR,1984,11063.0
BGR,1985,11063.0
BGR,1986,11063.0
BGR,1987,11063.0
BGR,1988,11063.0
BGR,1989,11063.0
BGR,1990,11063.0
BGR,1991,11063.0
BGR,1992,11063.0
BGR,1993,11063.0
BGR,1994,11063.0
BGR,1995,11063.0
BGR,1996,11063.0
BGR,1997,11063.0
BGR,1998,11063.0
BGR,1999,11063.0
BGR,2000,11063.0
BGR,2001,11063.0
BGR,2002,10880.0
BGR,2003,10877.0
BGR,2004,10876.0
BGR,2005,10864.0
BGR,2006,10863.0
BGR,2007,10861.0
BGR,2008,10861.0
BGR,2009,10856.0
BGR,2010,10856.0
BGR,2011,10856.0
BGR,2012,10856.0
BGR,2013,10856.0
BGR,2014,10856.0
BGR,2015,10856.0
BGR,2016,10856.0
BGR,2017,10856.0
BGR,2018,10856.0
BHR,1961,69.0
BHR,1962,69.0
BHR,1963,69.0
BHR,1964,69.0
BHR,1965,69.0
BHR,1966,69.0
BHR,1967,69.0
BHR,1968,69.0
BHR,1969,69.0
BHR,1970,69.0
BHR,1971,69.0
BHR,1972,69.0
BHR,1973,69.0
BHR,1974,69.0
BHR,1975,69.0
BHR,1976,69.0
BHR,1977,69.0
BHR,1978,69.0
BHR,1979,69.0
BHR,1980,69.0
BHR,1981,69.0
BHR,1982,69.0
BHR,1983,69.0
BHR,1984,69.0
BHR,1985,69.0
BHR,1986,69.0
BHR,1987,69.0
BHR,1988,69.0
BHR,1989,69.0
BHR,1990,69.0
BHR,1991,69.0
BHR,1992,71.0
BHR,1993,71.0
BHR,1994,71.0
BHR,1995,71.0
BHR,1996,71.0
BHR,1997,71.0
BHR,1998,71.0
BHR,1999,71.0
BHR,2000,71.0
BHR,2001,71.0
BHR,2002,71.0
BHR,2003,72.0
BHR,2004,73.0
BHR,2005,74.0
BHR,2006,74.0
BHR,2007,75.0
BHR,2008,76.0
BHR,2009,76.0
BHR,2010,76.2
BHR,2011,76.7
BHR,2012,77.0
BHR,2013,77.0
BHR,2014,77.1
BHR,2015,77.8
BHR,2016,77.9
BHR,2017,78.0
BHR,2018,78.0
BHS,1961,1001.0
BHS,1962,1001.0
BHS,1963,1001.0
BHS,1964,1001.0
BHS,1965,1001.0
BHS,1966,1001.0
BHS,1967,1001.0
BHS,1968,1001.0
BHS,1969,1001.0
BHS,1970,1001.0
BHS,1971,1001.0
BHS,1972,1001.0
BHS,1973,1001.0
BHS,1974,1001.0
BHS,1975,1001.0
BHS,1976,1001.0
BHS,1977,1001.0
BHS,1978,1001.0
BHS,1979,1001.0
BHS,1980,1001.0
BHS,1981,1001.0
BHS,1982,1001.0
BHS,1983,1001.0
BHS,1984,1001.0
BHS,1985,1001.0
BHS,1986,1001.0
BHS,1987,1001.0
BHS,1988,1001.0
BHS,1989,1001.0
BHS,1990,1001.0
BHS,1991,1001.0
BHS,1992,1001.0
BHS,1993,1001.0
BHS,1994,1001.0
BHS,1995,1001.0
BHS,1996,1001.0
BHS,1997,1001.0
BHS,1998,1001.0
BHS,1999,1001.0
BHS,2000,1001.0
BHS,2001,1001.0
BHS,2002,1001.0
BHS,2003,1001.0
BHS,2004,1001.0
BHS,2005,1001.0
BHS,2006,1001.0
BHS,2007,1001.0
BHS,2008,1001.0
BHS,2009,1001.0
BHS,2010,1001.0
BHS,2011,1001.0
BHS,2012,1001.0
BHS,2013,1001.0
BHS,2014,1001.0
BHS,2015,1001.0
BHS,2016,1001.0
BHS,2017,1001.0
BHS,2018,1001.0
BIH,1992,5120.0
BIH,1993,5120.0
BIH,1994,5120.0
BIH,1995,5120.0
BIH,1996,5120.0
BIH,1997,5120.0
BIH,1998,5120.0
BIH,1999,5120.0
BIH,2000,5120.0
BIH,2001,5120.0
BIH,2002,5120.0
BIH,2003,5120.0
BIH,2004,5120.0
BIH,2005,5120.0
BIH,2006,5120.0
BIH,2007,5120.0
BIH,2008,5120.0
BIH,2009,5120.0
BIH,2010,5120.0
BIH,2011,5120.0
BIH,2012,5120.0
BIH,2013,5120.0
BIH,2014,5120.0
BIH,2015,5120.0
BIH,2016,5120.0
BIH,2017,5120.0
BIH,2018,5120.0
BLM,2011,2.0
BLM,2012,2.0
BLM,2013,2.0
BLM,2014,2.0
BLM,2015,2.0
