ISO,Year,Pop
PAK,2017,207906.0
PAK,2018,212228.0
PAN,2014,3901.0
PAN,2015,3968.0
PAN,2016,4037.0
PAN,2017,4107.0
PAN,2018,4177.0
PER,2014,30090.0
PER,2015,30471.0
PER,2016,30926.0
PER,2017,31444.0
PER,2018,31989.0
PHL,2014,100513.0
PHL,2015,102113.0
PHL,2016,103664.0
PHL,2017,105173.0
PHL,2018,106651.0
PNG,2014,7947.0
PNG,2015,8108.0
PNG,2016,8272.0
PNG,2017,8438.0
PNG,2018,8606.0
POL,2014,38091.0
POL,2015,38034.0
POL,2016,37989.0
POL,2017,37953.0
POL,2018,37922.0
PRK,2014,25058.0
PRK,2015,25184.0
PRK,2016,25308.0
PRK,2017,25430.0
PRK,2018,25550.0
PRT,2014,10418.0
PRT,2015,10368.0
PRT,2016,10326.0
PRT,2017,10289.0
PRT,2018,10256.0
PRY,2014,6600.0
PRY,2015,6689.0
PRY,2016,6778.0
PRY,2017,6867.0
PRY,2018,6956.0
PYF,2014,272.0
PYF,2015,273.0
PYF,2016,275.0
PYF,2017,276.0
PYF,2018,278.0
ROU,2014,20036.0
ROU,2015,19925.0
ROU,2016,19796.0
ROU,2017,19654.0
ROU,2018,19506.0
RUS,2014,144665.0
RUS,2015,144985.0
RUS,2016,145275.0
RUS,2017,145530.0
RUS,2018,145734.0
RWA,2014,11084.0
RWA,2015,11369.0
RWA,2016,11669.0
RWA,2017,11981.0
RWA,2018,12302.0
SAU,2014,30917.0
SAU,2015,31718.0
SAU,2016,32443.0
SAU,2017,33101.0
SAU,2018,33703.0
SDN,2014,37978.0
SDN,2015,38903.0
SDN,2016,39847.0
SDN,2017,40813.0
SDN,2018,41802.0
SEN,2014,14175.0
SEN,2015,14578.0
SEN,2016,14994.0
SEN,2017,15419.0
SEN,2018,15854.0
SLB,2014,587.0
SLB,2015,603.0
SLB,2016,619.0
SLB,2017,636.0
SLB,2018,653.0
SLE,2014,7017.0
SLE,2015,7172.0
SLE,2016,7329.0
SLE,2017,7488.0
SLE,2018,7650.0
SLV,2014,6295.0
SLV,2015,6325.0
SLV,2016,6356.0
SLV,2017,6388.0
SLV,2018,6421.0
SRB,2014,8898.0
SRB,2015,8877.0
SRB,2016,8854.0
SRB,2017,8830.0
SRB,2018,8803.0
STP,2014,196.0
STP,2015,199.0
STP,2016,203.0
STP,2017,207.0
STP,2018,211.0
SUR,2014,553.0
SUR,2015,559.0
SUR,2016,565.0
SUR,2017,570.0
SUR,2018,576.0
SVK,2014,5429.0
SVK,2015,5436.0
SVK,2016,5442.0
SVK,2017,5448.0
SVK,2018,5453.0
SVN,2014,2067.0
SVN,2015,2071.0
SVN,2016,2074.0
SVN,2017,2076.0
SVN,2018,2078.0
SWE,2014,9692.0
SWE,2015,9765.0
SWE,2016,9836.0
SWE,2017,9905.0
SWE,2018,9972.0
SWZ,2014,1095.0
SWZ,2015,1104.0
SWZ,2016,1114.0
SWZ,2017,1125.0
SWZ,2018,1136.0
TCD,2014,13664.0
TCD,2015,14111.0
TCD,2016,14562.0
TCD,2017,15017.0
TCD,2018,15478.0
TGO,2014,7138.0
TGO,2015,7323.0
TGO,2016,7510.0
TGO,2017,7698.0
TGO,2018,7889.0
THA,2014,68439.0
THA,2015,68715.0
THA,2016,68971.0
THA,2017,69210.0
THA,2018,69428.0
TJK,2014,8253.0
TJK,2015,8454.0
TJK,2016,8664.0
TJK,2017,8880.0
TJK,2018,9101.0
TKM,2014,5466.0
TKM,2015,5565.0
TKM,2016,5662.0
TKM,2017,5758.0
TKM,2018,5851.0
TLS,2014,1174.0
TLS,2015,1196.0
TLS,2016,1219.0
TLS,2017,1243.0
TLS,2018,1268.0
TTO,2014,1362.0
TTO,2015,1370.0
TTO,2016,1378.0
TTO,2017,1384.0
TTO,2018,1390.0
TUN,2014,11063.0
TUN,2015,11180.0
TUN,2016,11304.0
TUN,2017,11433.0
TUN,2018,11565.0
TUR,2014,77229.0
TUR,2015,78529.0
TUR,2016,79828.0
TUR,2017,81116.0
TUR,2018,82340.0
TZA,2014,49961.0
TZA,2015,51483.0
TZA,2016,53049.0
TZA,2017,54660.0
TZA,2018,56313.0
UGA,2014,36912.0
UGA,2015,38225.0
UGA,2016,39649.0
UGA,2017,41167.0
UGA,2018,42729.0
UKR,2014,45112.0
UKR,2015,44922.0
UKR,2016,44714.0
UKR,2017,44488.0
UKR,2018,44246.0
URY,2014,3400.0
URY,2015,3412.0
URY,2016,3424.0
URY,2017,3437.0
URY,2018,3449.0
USA,2014,318673.0
USA,2015,320878.0
USA,2016,323016.0
USA,2017,325085.0
USA,2018,327096.0
UZB,2014,30426.0
UZB,2015,30930.0
UZB,2016,31442.0
UZB,2017,31960.0
UZB,2018,32476.0
VCT,2014,109.0
VCT,2015,109.0
VCT,2016,109.0
VCT,2017,110.0
VCT,2018,110.0
VEN,2014,30043.0
VEN,2015,30082.0
VEN,2016,29851.0
VEN,2017,29402.0
VEN,2018,28887.0
VNM,2014,91714.0
VNM,2015,92677.0
VNM,2016,93640.0
VNM,2017,94601.0
VNM,2018,95546.0
VUT,2014,264.0
VUT,2015,271.0
VUT,2016,278.0
VUT,2017,286.0
VUT,2018,293.0
WSM,2014,192.0
WSM,2015,194.0
WSM,2016,195.0
WSM,2017,195.0
WSM,2018,196.0
YEM,2014,25823.0
YEM,2015,26498.0
YEM,2016,27168.0
YEM,2017,27835.0
YEM,2018,28499.0
ZAF,2014,54544.0
ZAF,2015,55386.0
ZAF,2016,56208.0
ZAF,2017,57010.0
ZAF,2018,57793.0
ZMB,2014,15400.0
ZMB,2015,15879.0
ZMB,2016,16363.0
ZMB,2017,16854.0
ZMB,2018,17352.0
ZWE,2014,13587.0
ZWE,2015,13815.0
ZWE,2016,14030.0
ZWE,2017,14237.0
ZWE,2018,14439.0
