ISO,Year,Item,FIi
AFG,2017,Chick peas,6.1160000000000005
AFG,2017,Chicory roots,0.0
AFG,2017,"Chillies and peppers, dry",0.004
AFG,2017,"Chillies and peppers, green",5.292
AFG,2017,Cinnamon (cannella),0.011
AFG,2017,Cloves,0.015
AFG,2017,"Cocoa, beans",0.001
AFG,2017,Coconuts,0.559
AFG,2017,"Coffee, green",0.0
AFG,2017,Cucumbers and gherkins,4.018
AFG,2017,Dates,15.176
AFG,2017,Eggplants (aubergines),14.747
AFG,2017,"Eggs, hen, in shell",51.459
AFG,2017,"Eggs, other bird, in shell",2.958
AFG,2017,"Fat, camels",0.0
AFG,2017,"Fat, cattle",0.513
AFG,2017,"Fat, goats",0.0
AFG,2017,"Fat, sheep",0.0
AFG,2017,Figs,0.0
AFG,2017,"Fruit, citrus nes",32.663000000000004
AFG,2017,"Fruit, fresh nes",10.348
AFG,2017,"Fruit, stone nes",0.0
AFG,2017,"Fruit, tropical fresh nes",0.0
AFG,2017,Garlic,3.354
AFG,2017,Ginger,0.002
AFG,2017,Grapefruit (inc. pomelos),0.069
AFG,2017,Grapes,1.469
AFG,2017,"Groundnuts, with shell",33.828
AFG,2017,"Hazelnuts, with shell",0.066
AFG,2017,Hempseed,0.0
AFG,2017,"Honey, natural",0.038
AFG,2017,Kiwi fruit,0.884
AFG,2017,"Leeks, other alliaceous vegetables",32.632
AFG,2017,Lemons and limes,1.346
AFG,2017,Lentils,4.773
AFG,2017,Lettuce and chicory,0.068
AFG,2017,Linseed,51.163000000000004
AFG,2017,Maize,15.675
AFG,2017,"Maize, green",0.0
AFG,2017,"Mangoes, mangosteens, guavas",0.561
AFG,2017,Meat nes,0.0
AFG,2017,"Meat, buffalo",0.0
AFG,2017,"Meat, camel",0.0
AFG,2017,"Meat, cattle",5.706
AFG,2017,"Meat, chicken",28.937
AFG,2017,"Meat, duck",0.051000000000000004
AFG,2017,"Meat, game",0.001
AFG,2017,"Meat, goat",0.0
AFG,2017,"Meat, goose and guinea fowl",0.0
AFG,2017,"Meat, pig",0.041
AFG,2017,"Meat, rabbit",0.001
AFG,2017,"Meat, sheep",0.194
AFG,2017,"Meat, turkey",0.179
AFG,2017,"Melons, other (inc.cantaloupes)",0.108
AFG,2017,Melonseed,0.029
AFG,2017,"Milk, whole fresh camel",0.0
AFG,2017,"Milk, whole fresh cow",41.291000000000004
AFG,2017,"Milk, whole fresh goat",0.0
AFG,2017,"Milk, whole fresh sheep",0.0
AFG,2017,Millet,0.418
AFG,2017,Mushrooms and truffles,0.0
AFG,2017,Mustard seed,0.0
AFG,2017,"Nutmeg, mace and cardamoms",0.245
AFG,2017,Nuts nes,0.057
AFG,2017,Oats,0.0
AFG,2017,Offals nes,0.0
AFG,2017,"Offals, edible, camels",0.0
AFG,2017,"Offals, edible, cattle",2.097
AFG,2017,"Offals, edible, goats",0.0
AFG,2017,"Offals, liver chicken",0.105
AFG,2017,"Offals, liver geese",0.0
AFG,2017,"Offals, liver turkeys",0.0
AFG,2017,"Offals, sheep,edible",3.708
AFG,2017,Oilseeds nes,0.094
AFG,2017,Olives,0.0
AFG,2017,"Onions, dry",90.958
AFG,2017,Oranges,11.681000000000001
AFG,2017,Peaches and nectarines,0.1
AFG,2017,Pears,0.54
AFG,2017,"Peas, dry",23.922
AFG,2017,"Peas, green",8.636000000000001
AFG,2017,Pepper (piper spp.),0.168
AFG,2017,Persimmons,0.004
AFG,2017,Pigeon peas,0.0
AFG,2017,Pineapples,0.112
AFG,2017,Pistachios,1.924
AFG,2017,Plantains and others,0.007
AFG,2017,Plums and sloes,0.188
AFG,2017,Poppy seed,0.0
AFG,2017,Potatoes,382.843
AFG,2017,Pulses nes,46.602000000000004
AFG,2017,"Pumpkins, squash and gourds",0.0
AFG,2017,Quinces,0.019
AFG,2017,Quinoa,0.0
AFG,2017,Rapeseed,0.68
AFG,2017,Raspberries,0.0
AFG,2017,"Rice, paddy",1.568
AFG,2017,Roots and tubers nes,0.0
AFG,2017,Rye,0.0
AFG,2017,Safflower seed,0.038
AFG,2017,Sesame seed,0.537
AFG,2017,Sorghum,0.001
AFG,2017,Soybeans,0.04
AFG,2017,Spices nes,0.464
AFG,2017,Spinach,0.001
AFG,2017,Strawberries,0.0
AFG,2017,Sugar beet,0.0
AFG,2017,Sugar cane,0.171
AFG,2017,Sunflower seed,8.38
AFG,2017,Sweet corn frozen,0.021
AFG,2017,Sweet corn prep or preserved,0.105
AFG,2017,Sweet potatoes,0.001
AFG,2017,"Tangerines, mandarins, clementines, satsumas",87.128
AFG,2017,Taro (cocoyam),0.0
AFG,2017,Tea,79.545
AFG,2017,Tomatoes,103.141
AFG,2017,Vanilla,0.0
AFG,2017,"Vegetables, fresh nes",55.599000000000004
AFG,2017,"Vegetables, leguminous nes",0.43
AFG,2017,"Walnuts, with shell",0.032
AFG,2017,Watermelons,10.733
AFG,2017,Wheat,728.124
AFG,2017,Yams,0.0
AFG,2018,"Almonds, with shell",0.8220000000000001
AFG,2018,"Anise, badian, fennel, coriander",0.112
AFG,2018,Apples,7.835
AFG,2018,Apricots,0.0
AFG,2018,Areca nuts,5.835
AFG,2018,Artichokes,0.0
AFG,2018,Asparagus,0.224
AFG,2018,Avocados,0.074
AFG,2018,Bambara beans,0.0
AFG,2018,Bananas,143.248
AFG,2018,Barley,18.498
AFG,2018,"Beans, dry",48.233000000000004
AFG,2018,"Beans, green",0.016
AFG,2018,Berries nes,0.0
AFG,2018,"Brazil nuts, with shell",0.0
AFG,2018,"Broad beans, horse beans, dry",0.0
AFG,2018,Buckwheat,0.133
AFG,2018,Cabbages and other brassicas,1.793
AFG,2018,Canary seed,0.0
AFG,2018,Carrots and turnips,1.11
AFG,2018,"Cashew nuts, with shell",0.0
AFG,2018,Cassava leaves,0.0
AFG,2018,Castor oil seed,0.0
AFG,2018,Cauliflowers and broccoli,0.115
AFG,2018,Cereals nes,0.045
AFG,2018,Cherries,0.655
AFG,2018,"Cherries, sour",0.0
AFG,2018,Chestnut,0.0
AFG,2018,Chick peas,6.567
AFG,2018,Chicory roots,0.0
AFG,2018,"Chillies and peppers, dry",0.042
AFG,2018,"Chillies and peppers, green",0.336
AFG,2018,Cinnamon (cannella),0.031
AFG,2018,Cloves,0.007
AFG,2018,"Cocoa, beans",0.0
AFG,2018,Coconuts,8.33
AFG,2018,"Coffee, green",0.033
AFG,2018,"Cow peas, dry",0.0
AFG,2018,Cucumbers and gherkins,3.842
AFG,2018,Dates,19.261
AFG,2018,Eggplants (aubergines),22.611
AFG,2018,"Eggs, hen, in shell",41.286
AFG,2018,"Eggs, other bird, in shell",2.761
AFG,2018,"Fat, camels",0.0
AFG,2018,"Fat, cattle",0.031
AFG,2018,"Fat, goats",0.0
AFG,2018,"Fat, sheep",0.0
AFG,2018,Figs,0.007
AFG,2018,"Fruit, citrus nes",66.013
AFG,2018,"Fruit, fresh nes",0.0
AFG,2018,"Fruit, stone nes",0.0
AFG,2018,"Fruit, tropical fresh nes",0.09
AFG,2018,Garlic,2.353
AFG,2018,Ginger,0.013000000000000001
AFG,2018,Grapefruit (inc. pomelos),0.355
AFG,2018,Grapes,0.41600000000000004
AFG,2018,"Groundnuts, with shell",51.865
AFG,2018,"Hazelnuts, with shell",0.359
AFG,2018,Hempseed,0.0
AFG,2018,"Honey, natural",0.06
AFG,2018,Kiwi fruit,0.9520000000000001
AFG,2018,"Leeks, other alliaceous vegetables",0.0
AFG,2018,Lemons and limes,0.792
AFG,2018,Lentils,5.533
AFG,2018,Lettuce and chicory,0.384
AFG,2018,Linseed,64.013
AFG,2018,Maize,15.828000000000001
AFG,2018,"Maize, green",0.0
AFG,2018,"Mangoes, mangosteens, guavas",8.684000000000001
AFG,2018,Maté,0.0
AFG,2018,Meat nes,0.0
AFG,2018,"Meat, buffalo",0.0
AFG,2018,"Meat, camel",0.0
AFG,2018,"Meat, cattle",3.618
AFG,2018,"Meat, chicken",23.913
AFG,2018,"Meat, duck",0.159
AFG,2018,"Meat, game",0.0
AFG,2018,"Meat, goat",0.0
AFG,2018,"Meat, goose and guinea fowl",0.0
AFG,2018,"Meat, pig",0.134
AFG,2018,"Meat, sheep",0.161
AFG,2018,"Meat, turkey",0.20400000000000001
AFG,2018,"Melons, other (inc.cantaloupes)",0.091
AFG,2018,Melonseed,0.11800000000000001
AFG,2018,"Milk, whole fresh camel",0.0
AFG,2018,"Milk, whole fresh cow",33.022
AFG,2018,"Milk, whole fresh goat",0.0
AFG,2018,"Milk, whole fresh sheep",0.0
AFG,2018,Millet,1.2630000000000001
AFG,2018,Mushrooms and truffles,0.10200000000000001
AFG,2018,Mustard seed,0.001
