ISO,Year,EFR
ATF,2011,0.0
ATF,2012,0.0
ATF,2013,0.0
ATF,2014,0.0
ATF,2015,0.0
ATF,2016,0.0
ATF,2017,0.0
ATF,2018,0.0
ATF,2019,0.0
ATF,2020,0.0
ATF,2021,0.0
ATF,2022,0.0
ATF,2023,0.0
ATF,2024,0.0
ATF,2025,0.0
ATF,2026,0.0
ATF,2027,0.0
ATF,2028,0.0
ATF,2029,0.0
ATF,2030,0.0
ATF,2031,0.0
ATF,2032,0.0
ATF,2033,0.0
ATF,2034,0.0
ATF,2035,0.0
ATF,2036,0.0
ATF,2037,0.0
ATF,2038,0.0
ATF,2039,0.0
ATF,2040,0.0
ATF,2041,0.0
ATF,2042,0.0
ATF,2043,0.0
ATF,2044,0.0
ATF,2045,0.0
ATF,2046,0.0
ATF,2047,0.0
ATF,2048,0.0
ATF,2049,0.0
ATF,2050,0.0
ATG,1980,0.0
ATG,1981,0.0
ATG,1982,0.0
ATG,1983,0.0
ATG,1984,0.0
ATG,1985,0.0
ATG,1986,0.0
ATG,1987,0.0
ATG,1988,0.0
ATG,1989,0.0
ATG,1990,0.0
ATG,1991,0.0
ATG,1992,0.0
ATG,1993,0.0
ATG,1994,0.0
ATG,1995,0.0
ATG,1996,0.0
ATG,1997,0.0
ATG,1998,0.0
ATG,1999,0.0
ATG,2000,0.0
ATG,2001,0.0
ATG,2002,0.0
ATG,2003,0.0
ATG,2004,0.0
ATG,2005,0.0
ATG,2006,0.0
ATG,2007,0.0
ATG,2008,0.0
ATG,2009,0.0
ATG,2010,0.0
ATG,2011,0.0
ATG,2012,0.0
ATG,2013,0.0
ATG,2014,0.0
ATG,2015,0.0
ATG,2016,0.0
ATG,2017,0.0
ATG,2018,0.0
ATG,2019,0.0
ATG,2020,0.0
ATG,2021,0.0
ATG,2022,0.0
ATG,2023,0.0
ATG,2024,0.0
ATG,2025,0.0
ATG,2026,0.0
ATG,2027,0.0
ATG,2028,0.0
ATG,2029,0.0
ATG,2030,0.0
ATG,2031,0.0
ATG,2032,0.0
ATG,2033,0.0
ATG,2034,0.0
ATG,2035,0.0
ATG,2036,0.0
ATG,2037,0.0
ATG,2038,0.0
ATG,2039,0.0
ATG,2040,0.0
ATG,2041,0.0
ATG,2042,0.0
ATG,2043,0.0
ATG,2044,0.0
ATG,2045,0.0
ATG,2046,0.0
ATG,2047,0.0
ATG,2048,0.0
ATG,2049,0.0
ATG,2050,0.0
AUS,1980,243.3
AUS,1981,243.3
AUS,1982,243.3
AUS,1983,243.3
AUS,1984,243.3
AUS,1985,243.3
AUS,1986,243.3
AUS,1987,243.3
AUS,1988,243.3
AUS,1989,243.3
AUS,1990,243.3
AUS,1991,243.3
AUS,1992,243.3
AUS,1993,243.3
AUS,1994,243.3
AUS,1995,243.3
AUS,1996,243.3
AUS,1997,243.3
AUS,1998,243.3
AUS,1999,243.3
AUS,2000,243.3
AUS,2001,243.3
AUS,2002,243.3
AUS,2003,243.3
AUS,2004,243.3
AUS,2005,243.3
AUS,2006,243.3
AUS,2007,243.3
AUS,2008,243.3
AUS,2009,243.3
AUS,2010,243.3
AUS,2011,243.3
AUS,2012,243.3
AUS,2013,243.3
AUS,2014,243.3
AUS,2015,243.3
AUS,2016,243.3
AUS,2017,243.3
AUS,2018,243.3
AUS,2019,243.3
AUS,2020,243.3
AUS,2021,243.3
AUS,2022,243.3
AUS,2023,243.3
AUS,2024,243.3
AUS,2025,243.3
AUS,2026,243.3
AUS,2027,243.3
AUS,2028,243.3
AUS,2029,243.3
AUS,2030,243.3
AUS,2031,243.3
AUS,2032,243.3
AUS,2033,243.3
AUS,2034,243.3
AUS,2035,243.3
AUS,2036,243.3
AUS,2037,243.3
AUS,2038,243.3
AUS,2039,243.3
AUS,2040,243.3
AUS,2041,243.3
AUS,2042,243.3
AUS,2043,243.3
AUS,2044,243.3
AUS,2045,243.3
AUS,2046,243.3
AUS,2047,243.3
AUS,2048,243.3
AUS,2049,243.3
AUS,2050,243.3
AUT,1980,41.51
AUT,1981,41.51
AUT,1982,41.51
AUT,1983,41.51
AUT,1984,41.51
AUT,1985,41.51
AUT,1986,41.51
AUT,1987,41.51
AUT,1988,41.51
AUT,1989,41.51
AUT,1990,41.51
AUT,1991,41.51
AUT,1992,41.51
AUT,1993,41.51
AUT,1994,41.51
