ISO,Year,TFA
AUT,2009,77.7
AUT,2010,77.7
AUT,2011,77.7
AUT,2012,77.7
AUT,2013,77.7
AUT,2014,77.7
AUT,2015,77.7
AUT,2016,77.7
AUT,2017,77.7
AUT,2018,77.7
AUT,2019,77.7
AUT,2020,77.7
AUT,2021,77.7
AUT,2022,77.7
AUT,2023,77.7
AUT,2024,77.7
AUT,2025,77.7
AUT,2026,77.7
AUT,2027,77.7
AUT,2028,77.7
AUT,2029,77.7
AUT,2030,77.7
AUT,2031,77.7
AUT,2032,77.7
AUT,2033,77.7
AUT,2034,77.7
AUT,2035,77.7
AUT,2036,77.7
AUT,2037,77.7
AUT,2038,77.7
AUT,2039,77.7
AUT,2040,77.7
AUT,2041,77.7
AUT,2042,77.7
AUT,2043,77.7
AUT,2044,77.7
AUT,2045,77.7
AUT,2046,77.7
AUT,2047,77.7
AUT,2048,77.7
AUT,2049,77.7
AUT,2050,77.7
AZE,1980,34.68
AZE,1981,34.68
AZE,1982,34.68
AZE,1983,34.68
AZE,1984,34.68
AZE,1985,34.68
AZE,1986,34.68
AZE,1987,34.68
AZE,1988,34.68
AZE,1989,34.68
AZE,1990,34.68
AZE,1991,34.68
AZE,1992,34.68
AZE,1993,34.68
AZE,1994,34.68
AZE,1995,34.68
AZE,1996,34.68
AZE,1997,34.68
AZE,1998,34.68
AZE,1999,34.68
AZE,2000,34.68
AZE,2001,34.68
AZE,2002,34.68
AZE,2003,34.68
AZE,2004,34.68
AZE,2005,34.68
AZE,2006,34.68
AZE,2007,34.68
AZE,2008,34.68
AZE,2009,34.68
AZE,2010,34.68
AZE,2011,34.68
AZE,2012,34.68
AZE,2013,34.68
AZE,2014,34.68
AZE,2015,34.68
AZE,2016,34.68
AZE,2017,34.68
AZE,2018,34.68
AZE,2019,34.68
AZE,2020,34.68
AZE,2021,34.68
AZE,2022,34.68
AZE,2023,34.68
AZE,2024,34.68
AZE,2025,34.68
AZE,2026,34.68
AZE,2027,34.68
AZE,2028,34.68
AZE,2029,34.68
AZE,2030,34.68
AZE,2031,34.68
AZE,2032,34.68
AZE,2033,34.68
AZE,2034,34.68
AZE,2035,34.68
AZE,2036,34.68
AZE,2037,34.68
AZE,2038,34.68
AZE,2039,34.68
AZE,2040,34.68
AZE,2041,34.68
AZE,2042,34.68
AZE,2043,34.68
AZE,2044,34.68
AZE,2045,34.68
AZE,2046,34.68
AZE,2047,34.68
AZE,2048,34.68
AZE,2049,34.68
AZE,2050,34.68
BDI,1980,12.54
BDI,1981,12.54
BDI,1982,12.54
BDI,1983,12.54
BDI,1984,12.54
BDI,1985,12.54
BDI,1986,12.54
BDI,1987,12.54
BDI,1988,12.54
BDI,1989,12.54
BDI,1990,12.54
BDI,1991,12.54
BDI,1992,12.54
BDI,1993,12.54
BDI,1994,12.54
BDI,1995,12.54
BDI,1996,12.54
BDI,1997,12.54
BDI,1998,12.54
BDI,1999,12.54
BDI,2000,12.54
BDI,2001,12.54
BDI,2002,12.54
BDI,2003,12.54
BDI,2004,12.54
BDI,2005,12.54
BDI,2006,12.54
BDI,2007,12.54
BDI,2008,12.54
BDI,2009,12.54
BDI,2010,12.54
BDI,2011,12.54
BDI,2012,12.54
BDI,2013,12.54
BDI,2014,12.54
BDI,2015,12.54
BDI,2016,12.54
BDI,2017,12.54
BDI,2018,12.54
BDI,2019,12.54
BDI,2020,12.54
BDI,2021,12.54
BDI,2022,12.54
BDI,2023,12.54
BDI,2024,12.54
BDI,2025,12.54
BDI,2026,12.54
BDI,2027,12.54
BDI,2028,12.54
BDI,2029,12.54
BDI,2030,12.54
BDI,2031,12.54
BDI,2032,12.54
BDI,2033,12.54
BDI,2034,12.54
BDI,2035,12.54
BDI,2036,12.54
BDI,2037,12.54
BDI,2038,12.54
BDI,2039,12.54
BDI,2040,12.54
BDI,2041,12.54
BDI,2042,12.54
BDI,2043,12.54
BDI,2044,12.54
BDI,2045,12.54
BDI,2046,12.54
BDI,2047,12.54
BDI,2048,12.54
BDI,2049,12.54
BDI,2050,12.54
BEL,1980,18.3
BEL,1981,18.3
BEL,1982,18.3
BEL,1983,18.3
BEL,1984,18.3
BEL,1985,18.3
BEL,1986,18.3
BEL,1987,18.3
BEL,1988,18.3
BEL,1989,18.3
BEL,1990,18.3
BEL,1991,18.3
