ISO,Year,AGVA
CUB,2001,2510399831.64983
CUB,2002,2447251683.50168
CUB,2003,2505833333.33333
CUB,2004,2511052188.55219
CUB,2005,2218672218.01347
CUB,2006,2084541245.79125
CUB,2007,2460559764.30976
CUB,2008,2476216329.96633
CUB,2009,2471127946.12795
CUB,2010,2325000000.0
CUB,2011,2425462962.96296
CUB,2012,2442424242.42424
CUB,2013,2557239057.23906
CUB,2014,2614646464.64647
CUB,2015,2679882154.88216
CUB,2016,2835143097.6431
CUB,2017,2796001683.50169
CUB,2018,2869065656.56566
CUB,2019,2869065656.56566
CYM,2000,10646341.9442758
CYM,2001,10646341.9442758
CYM,2002,10646341.9442758
CYM,2003,10646341.9442758
CYM,2004,10646341.9442758
CYM,2005,10646341.9442758
CYM,2006,10646341.9442758
CYM,2007,11352686.7551449
CYM,2008,11974975.4056483
CYM,2009,13198746.4324969
CYM,2010,13005108.5828411
CYM,2011,13477687.0381171
CYM,2012,13622796.7019686
CYM,2013,13858863.3232497
CYM,2014,14997983.0316846
CYM,2015,15328072.7707683
CYM,2016,15730768.3104173
CYM,2017,16122072.1454697
CYM,2018,16297537.4548451
CYM,2019,16297537.4548451
CYP,2000,720977064.828318
CYP,2001,769725573.379292
CYP,2002,803096911.043351
CYP,2003,737205355.959167
CYP,2004,759049449.821026
CYP,2005,710277078.085642
CYP,2006,626404613.548986
CYP,2007,586553095.585311
CYP,2008,538650404.348403
CYP,2009,493100888.240753
CYP,2010,530880286.358213
CYP,2011,556979981.439746
CYP,2012,531642582.526846
CYP,2013,505542887.445314
CYP,2014,430196208.405144
CYP,2015,442734986.079809
CYP,2016,515834548.588095
CYP,2017,470478589.420655
CYP,2018,453599363.648416
CYP,2019,465280392.41681
CZE,2000,3458861012.1872
CZE,2001,3450740392.94111
CZE,2002,3343952507.23288
CZE,2003,3442166691.93451
CZE,2004,3875103740.32472
CZE,2005,4235129477.7157
CZE,2006,3933342172.77199
CZE,2007,3036728221.16303
CZE,2008,3088274984.53198
CZE,2009,4021902230.73041
CZE,2010,3220923383.03248
CZE,2011,2922900141.94532
CZE,2012,3174848453.23278
CZE,2013,3120374084.64206
CZE,2014,3339282279.8553
CZE,2015,3564603324.60194
CZE,2016,3751935206.35185
CZE,2017,3609528123.7788
CZE,2018,3755664417.76529
CZE,2019,3958505636.70193
DEU,2000,24646326275.2397
DEU,2001,23808922972.7753
DEU,2002,23520253669.8378
DEU,2003,23996164533.7658
DEU,2004,31322194567.525
DEU,2005,22854490556.8455
DEU,2006,21426732862.2918
DEU,2007,26776258650.5853
DEU,2008,31824111901.1119
DEU,2009,30854078113.6637
DEU,2010,27296388043.7644
DEU,2011,26074083969.7934
DEU,2012,26825673453.2143
DEU,2013,27507037937.725
DEU,2014,30167504804.3903
DEU,2015,26006469658.9571
DEU,2016,25551356439.9254
DEU,2017,24628126767.0324
DEU,2018,21138063559.3543
DEU,2019,21913048824.3603
DJI,2000,0.0
DJI,2001,0.0
DJI,2002,0.0
DJI,2003,0.0
DJI,2004,0.0
DJI,2005,0.0
