ISO,Year,IRWR
CIV,2018,76.84
CIV,2019,76.84
CMR,2000,273.0
CMR,2001,273.0
CMR,2002,273.0
CMR,2003,273.0
CMR,2004,273.0
CMR,2005,273.0
CMR,2006,273.0
CMR,2007,273.0
CMR,2008,273.0
CMR,2009,273.0
CMR,2010,273.0
CMR,2011,273.0
CMR,2012,273.0
CMR,2013,273.0
CMR,2014,273.0
CMR,2015,273.0
CMR,2016,273.0
CMR,2017,273.0
CMR,2018,273.0
CMR,2019,273.0
COD,2000,900.0
COD,2001,900.0
COD,2002,900.0
COD,2003,900.0
COD,2004,900.0
COD,2005,900.0
COD,2006,900.0
COD,2007,900.0
COD,2008,900.0
COD,2009,900.0
COD,2010,900.0
COD,2011,900.0
COD,2012,900.0
COD,2013,900.0
COD,2014,900.0
COD,2015,900.0
COD,2016,900.0
COD,2017,900.0
COD,2018,900.0
COD,2019,900.0
COG,2000,222.0
COG,2001,222.0
COG,2002,222.0
COG,2003,222.0
COG,2004,222.0
COG,2005,222.0
COG,2006,222.0
COG,2007,222.0
COG,2008,222.0
COG,2009,222.0
COG,2010,222.0
COG,2011,222.0
COG,2012,222.0
COG,2013,222.0
COG,2014,222.0
COG,2015,222.0
COG,2016,222.0
COG,2017,222.0
COG,2018,222.0
COG,2019,222.0
COK,2000,0.0
COK,2001,0.0
COK,2002,0.0
COK,2003,0.0
COK,2004,0.0
COK,2005,0.0
COK,2006,0.0
COK,2007,0.0
COK,2008,0.0
COK,2009,0.0
COK,2010,0.0
COK,2011,0.0
COK,2012,0.0
COK,2013,0.0
COK,2014,0.0
COK,2015,0.0
COK,2016,0.0
COK,2017,0.0
COK,2018,0.0
COK,2019,0.0
COL,2000,2145.0
COL,2001,2145.0
COL,2002,2145.0
COL,2003,2145.0
COL,2004,2145.0
COL,2005,2145.0
COL,2006,2145.0
COL,2007,2145.0
COL,2008,2145.0
COL,2009,2145.0
COL,2010,2145.0
COL,2011,2145.0
COL,2012,2145.0
COL,2013,2145.0
COL,2014,2145.0
COL,2015,2145.0
COL,2016,2145.0
COL,2017,2145.0
COL,2018,2145.0
COL,2019,2145.0
COM,2000,1.2
COM,2001,1.2
COM,2002,1.2
COM,2003,1.2
COM,2004,1.2
COM,2005,1.2
COM,2006,1.2
COM,2007,1.2
COM,2008,1.2
COM,2009,1.2
COM,2010,1.2
COM,2011,1.2
COM,2012,1.2
COM,2013,1.2
COM,2014,1.2
COM,2015,1.2
COM,2016,1.2
COM,2017,1.2
