ISO,Year,ERWR
CAF,2009,0.0
CAF,2010,0.0
CAF,2011,0.0
CAF,2012,0.0
CAF,2013,0.0
CAF,2014,0.0
CAF,2015,0.0
CAF,2016,0.0
CAF,2017,0.0
CAF,2018,0.0
CAF,2019,0.0
CAN,2000,52.0
CAN,2001,52.0
CAN,2002,52.0
CAN,2003,52.0
CAN,2004,52.0
CAN,2005,52.0
CAN,2006,52.0
CAN,2007,52.0
CAN,2008,52.0
CAN,2009,52.0
CAN,2010,52.0
CAN,2011,52.0
CAN,2012,52.0
CAN,2013,52.0
CAN,2014,52.0
CAN,2015,52.0
CAN,2016,52.0
CAN,2017,52.0
CAN,2018,52.0
CAN,2019,52.0
CHE,2000,13.1
CHE,2001,13.1
CHE,2002,13.1
CHE,2003,13.1
CHE,2004,13.1
CHE,2005,13.1
CHE,2006,13.1
CHE,2007,13.1
CHE,2008,13.1
CHE,2009,13.1
CHE,2010,13.1
CHE,2011,13.1
CHE,2012,13.1
CHE,2013,13.1
CHE,2014,13.1
CHE,2015,13.1
CHE,2016,13.1
CHE,2017,13.1
CHE,2018,13.1
CHE,2019,13.1
CHL,2000,38.06
CHL,2001,38.06
CHL,2002,38.06
CHL,2003,38.06
CHL,2004,38.06
CHL,2005,38.06
CHL,2006,38.06
CHL,2007,38.06
CHL,2008,38.06
CHL,2009,38.06
CHL,2010,38.06
CHL,2011,38.06
CHL,2012,38.06
CHL,2013,38.06
CHL,2014,38.06
CHL,2015,38.06
CHL,2016,38.06
CHL,2017,38.06
CHL,2018,38.06
CHL,2019,38.06
CIV,2000,7.3
CIV,2001,7.3
CIV,2002,7.3
CIV,2003,7.3
CIV,2004,7.3
CIV,2005,7.3
CIV,2006,7.3
CIV,2007,7.3
CIV,2008,7.3
CIV,2009,7.3
CIV,2010,7.3
CIV,2011,7.3
CIV,2012,7.3
CIV,2013,7.3
CIV,2014,7.3
CIV,2015,7.3
CIV,2016,7.3
CIV,2017,7.3
CIV,2018,7.3
CIV,2019,7.3
CMR,2000,10.15
CMR,2001,10.15
CMR,2002,10.15
CMR,2003,10.15
CMR,2004,10.15
CMR,2005,10.15
CMR,2006,10.15
CMR,2007,10.15
CMR,2008,10.15
CMR,2009,10.15
CMR,2010,10.15
CMR,2011,10.15
CMR,2012,10.15
CMR,2013,10.15
CMR,2014,10.15
CMR,2015,10.15
CMR,2016,10.15
CMR,2017,10.15
CMR,2018,10.15
CMR,2019,10.15
COD,2000,383.0
COD,2001,383.0
COD,2002,383.0
COD,2003,383.0
COD,2004,383.0
COD,2005,383.0
COD,2006,383.0
COD,2007,383.0
COD,2008,383.0
COD,2009,383.0
COD,2010,383.0
COD,2011,383.0
COD,2012,383.0
COD,2013,383.0
COD,2014,383.0
COD,2015,383.0
COD,2016,383.0
COD,2017,383.0
COD,2018,383.0
COD,2019,383.0
COG,2000,610.0
COG,2001,610.0
COG,2002,610.0
COG,2003,610.0
COG,2004,610.0
COG,2005,610.0
COG,2006,610.0
COG,2007,610.0
COG,2008,610.0
COG,2009,610.0
COG,2010,610.0
COG,2011,610.0
COG,2012,610.0
COG,2013,610.0
COG,2014,610.0
COG,2015,610.0
COG,2016,610.0
COG,2017,610.0
COG,2018,610.0
COG,2019,610.0
COK,2000,0.0
COK,2001,0.0
COK,2002,0.0
COK,2003,0.0
COK,2004,0.0
COK,2005,0.0
COK,2006,0.0
COK,2007,0.0
COK,2008,0.0
COK,2009,0.0
COK,2010,0.0
COK,2011,0.0
COK,2012,0.0
COK,2013,0.0
COK,2014,0.0
COK,2015,0.0
COK,2016,0.0
COK,2017,0.0
COK,2018,0.0
COK,2019,0.0
COL,2000,215.0
COL,2001,215.0
COL,2002,215.0
COL,2003,215.0
COL,2004,215.0
COL,2005,215.0
COL,2006,215.0
COL,2007,215.0
COL,2008,215.0
COL,2009,215.0
COL,2010,215.0
COL,2011,215.0
COL,2012,215.0
COL,2013,215.0
COL,2014,215.0
COL,2015,215.0
COL,2016,215.0
COL,2017,215.0
COL,2018,215.0
COL,2019,215.0
COM,2000,0.0
COM,2001,0.0
COM,2002,0.0
COM,2003,0.0
COM,2004,0.0
COM,2005,0.0
COM,2006,0.0
COM,2007,0.0
COM,2008,0.0
COM,2009,0.0
COM,2010,0.0
COM,2011,0.0
COM,2012,0.0
COM,2013,0.0
COM,2014,0.0
COM,2015,0.0
COM,2016,0.0
COM,2017,0.0
COM,2018,0.0
COM,2019,0.0
CPV,2000,0.0
CPV,2001,0.0
CPV,2002,0.0
CPV,2003,0.0
CPV,2004,0.0
CPV,2005,0.0
CPV,2006,0.0
CPV,2007,0.0
CPV,2008,0.0
CPV,2009,0.0
CPV,2010,0.0
CPV,2011,0.0
CPV,2012,0.0
CPV,2013,0.0
CPV,2014,0.0
CPV,2015,0.0
CPV,2016,0.0
CPV,2017,0.0
CPV,2018,0.0
CPV,2019,0.0
CRI,2000,0.0
CRI,2001,0.0
CRI,2002,0.0
CRI,2003,0.0
CRI,2004,0.0
CRI,2005,0.0
CRI,2006,0.0
CRI,2007,0.0
CRI,2008,0.0
CRI,2009,0.0
CRI,2010,0.0
CRI,2011,0.0
CRI,2012,0.0
CRI,2013,0.0
CRI,2014,0.0
CRI,2015,0.0
CRI,2016,0.0
CRI,2017,0.0
CRI,2018,0.0
CRI,2019,0.0
CUB,2000,0.0
CUB,2001,0.0
CUB,2002,0.0
CUB,2003,0.0
CUB,2004,0.0
CUB,2005,0.0
CUB,2006,0.0
CUB,2007,0.0
CUB,2008,0.0
CUB,2009,0.0
CUB,2010,0.0
CUB,2011,0.0
CUB,2012,0.0
CUB,2013,0.0
CUB,2014,0.0
CUB,2015,0.0
CUB,2016,0.0
CUB,2017,0.0
CUB,2018,0.0
CUB,2019,0.0
CYM,2000,0.0
CYM,2001,0.0
CYM,2002,0.0
CYM,2003,0.0
CYM,2004,0.0
CYM,2005,0.0
CYM,2006,0.0
CYM,2007,0.0
CYM,2008,0.0
CYM,2009,0.0
CYM,2010,0.0
CYM,2011,0.0
CYM,2012,0.0
CYM,2013,0.0
CYM,2014,0.0
CYM,2015,0.0
CYM,2016,0.0
CYM,2017,0.0
CYM,2018,0.0
CYM,2019,0.0
CYP,2000,0.0
CYP,2001,0.0
CYP,2002,0.0
CYP,2003,0.0
CYP,2004,0.0
CYP,2005,0.0
CYP,2006,0.0
CYP,2007,0.0
CYP,2008,0.0
CYP,2009,0.0
CYP,2010,0.0
CYP,2011,0.0
CYP,2012,0.0
CYP,2013,0.0
CYP,2014,0.0
CYP,2015,0.0
CYP,2016,0.0
CYP,2017,0.0
CYP,2018,0.0
CYP,2019,0.0
CZE,2000,0.0
CZE,2001,0.0
CZE,2002,0.0
CZE,2003,0.0
CZE,2004,0.0
CZE,2005,0.0
CZE,2006,0.0
CZE,2007,0.0
CZE,2008,0.0
CZE,2009,0.0
CZE,2010,0.0
CZE,2011,0.0
CZE,2012,0.0
CZE,2013,0.0
CZE,2014,0.0
CZE,2015,0.0
CZE,2016,0.0
CZE,2017,0.0
CZE,2018,0.0
CZE,2019,0.0
DEU,2000,47.0
DEU,2001,47.0
DEU,2002,47.0
DEU,2003,47.0
DEU,2004,47.0
DEU,2005,47.0
DEU,2006,47.0
DEU,2007,47.0
DEU,2008,47.0
DEU,2009,47.0
DEU,2010,47.0
DEU,2011,47.0
DEU,2012,47.0
DEU,2013,47.0
DEU,2014,47.0
DEU,2015,47.0
DEU,2016,47.0
DEU,2017,47.0
DEU,2018,47.0
DEU,2019,47.0
DJI,2000,0.0
DJI,2001,0.0
DJI,2002,0.0
DJI,2003,0.0
DJI,2004,0.0
DJI,2005,0.0
DJI,2006,0.0
DJI,2007,0.0
DJI,2008,0.0
DJI,2009,0.0
DJI,2010,0.0
DJI,2011,0.0
DJI,2012,0.0
DJI,2013,0.0
DJI,2014,0.0
DJI,2015,0.0
DJI,2016,0.0
DJI,2017,0.0
DJI,2018,0.0
DJI,2019,0.0
DMA,2000,0.0
DMA,2001,0.0
DMA,2002,0.0
DMA,2003,0.0
DMA,2004,0.0
DMA,2005,0.0
DMA,2006,0.0
DMA,2007,0.0
DMA,2008,0.0
DMA,2009,0.0
DMA,2010,0.0
DMA,2011,0.0
DMA,2012,0.0
DMA,2013,0.0
DMA,2014,0.0
DMA,2015,0.0
DMA,2016,0.0
DMA,2017,0.0
DMA,2018,0.0
DMA,2019,0.0
DNK,2000,0.0
DNK,2001,0.0
DNK,2002,0.0
DNK,2003,0.0
DNK,2004,0.0
DNK,2005,0.0
DNK,2006,0.0
DNK,2007,0.0
DNK,2008,0.0
DNK,2009,0.0
DNK,2010,0.0
DNK,2011,0.0
DNK,2012,0.0
DNK,2013,0.0
DNK,2014,0.0
DNK,2015,0.0
DNK,2016,0.0
DNK,2017,0.0
DNK,2018,0.0
DNK,2019,0.0
DOM,2000,0.0
DOM,2001,0.0
DOM,2002,0.0
DOM,2003,0.0
DOM,2004,0.0
DOM,2005,0.0
DOM,2006,0.0
DOM,2007,0.0
DOM,2008,0.0
DOM,2009,0.0
DOM,2010,0.0
DOM,2011,0.0
DOM,2012,0.0
DOM,2013,0.0
DOM,2014,0.0
DOM,2015,0.0
DOM,2016,0.0
DOM,2017,0.0
DOM,2018,0.0
DOM,2019,0.0
DZA,2000,0.42
DZA,2001,0.42
DZA,2002,0.42
DZA,2003,0.42
DZA,2004,0.42
DZA,2005,0.42
DZA,2006,0.42
DZA,2007,0.42
DZA,2008,0.42
DZA,2009,0.42
DZA,2010,0.42
DZA,2011,0.42
DZA,2012,0.42
DZA,2013,0.42
DZA,2014,0.42
DZA,2015,0.42
DZA,2016,0.42
DZA,2017,0.42
DZA,2018,0.42
DZA,2019,0.42
ECU,2000,0.0
ECU,2001,0.0
ECU,2002,0.0
ECU,2003,0.0
ECU,2004,0.0
ECU,2005,0.0
ECU,2006,0.0
ECU,2007,0.0
ECU,2008,0.0
ECU,2009,0.0
ECU,2010,0.0
ECU,2011,0.0
ECU,2012,0.0
ECU,2013,0.0
ECU,2014,0.0
ECU,2015,0.0
ECU,2016,0.0
ECU,2017,0.0
ECU,2018,0.0
ECU,2019,0.0
EGY,2000,56.5
EGY,2001,56.5
EGY,2002,56.5
EGY,2003,56.5
EGY,2004,56.5
EGY,2005,56.5
EGY,2006,56.5
EGY,2007,56.5
EGY,2008,56.5
EGY,2009,56.5
EGY,2010,56.5
EGY,2011,56.5
EGY,2012,56.5
EGY,2013,56.5
EGY,2014,56.5
EGY,2015,56.5
EGY,2016,56.5
EGY,2017,56.5
EGY,2018,56.5
EGY,2019,56.5
ERI,2000,4.515
ERI,2001,4.515
ERI,2002,4.515
ERI,2003,4.515
ERI,2004,4.515
ERI,2005,4.515
ERI,2006,4.515
ERI,2007,4.515
ERI,2008,4.515
ERI,2009,4.515
ERI,2010,4.515
ERI,2011,4.515
ERI,2012,4.515
ERI,2013,4.515
ERI,2014,4.515
ERI,2015,4.515
ERI,2016,4.515
ERI,2017,4.515
ERI,2018,4.515
ERI,2019,4.515
ESP,2000,0.3
ESP,2001,0.3
ESP,2002,0.3
ESP,2003,0.3
ESP,2004,0.3
ESP,2005,0.3
ESP,2006,0.3
ESP,2007,0.3
ESP,2008,0.3
ESP,2009,0.3
ESP,2010,0.3
ESP,2011,0.3
ESP,2012,0.3
ESP,2013,0.3
ESP,2014,0.3
ESP,2015,0.3
ESP,2016,0.3
ESP,2017,0.3
ESP,2018,0.3
ESP,2019,0.3
EST,2000,0.096
EST,2001,0.096
EST,2002,0.096
EST,2003,0.096
EST,2004,0.096
EST,2005,0.096
EST,2006,0.096
EST,2007,0.096
EST,2008,0.096
