ISO,Year,GDPC
CRI,2005,6892.92317953367
CRI,2006,7289.90392269152
CRI,2007,7779.3249270175
CRI,2008,8034.32992249851
CRI,2009,7854.95237470108
CRI,2010,8141.91312675461
CRI,2011,8390.47907109648
CRI,2012,8689.96516770511
CRI,2013,8785.74138466674
CRI,2014,8993.5260018404
CRI,2015,9219.38970070256
CRI,2016,9509.73818938105
CRI,2017,9775.85087831526
CRI,2018,9936.58452751182
CRI,2019,10046.9400015886
CUB,2000,3480.83089218864
CUB,2001,3579.39547527961
CUB,2002,3619.05531013141
CUB,2003,3746.43781503043
CUB,2004,3955.16666643203
CUB,2005,4393.8300479724
CUB,2006,4924.1296085638
CUB,2007,5286.48019452478
CUB,2008,5511.04696456554
CUB,2009,5596.13968145983
CUB,2010,5730.35477459488
CUB,2011,5885.25462455411
CUB,2012,6051.68574614449
CUB,2013,6203.84326293832
CUB,2014,6255.42616104799
CUB,2015,6522.73679904185
CUB,2016,6550.27437297674
CUB,2017,6666.33172826664
CUB,2018,6816.89680904415
CUB,2019,6816.89680904415
CYM,2000,88282.0509402889
CYM,2001,88282.0509402889
CYM,2002,88282.0509402889
CYM,2003,88282.0509402889
CYM,2004,88282.0509402889
CYM,2005,88282.0509402889
CYM,2006,88282.0509402889
CYM,2007,88391.3330700944
CYM,2008,85529.8131736575
CYM,2009,77239.2685426455
CYM,2010,73351.75776478
CYM,2011,72662.9918953925
CYM,2012,72209.1493296504
CYM,2013,71944.4046151236
CYM,2014,72742.3959856353
CYM,2015,73741.6532661395
CYM,2016,75102.7119654329
CYM,2017,76439.589917984
CYM,2018,78611.5551657543
CYM,2019,78611.5551657543
CYP,2000,26686.7896553853
CYP,2001,27444.1888790571
CYP,2002,28141.5655102803
CYP,2003,28530.9349607537
CYP,2004,29566.8294482432
CYP,2005,30558.4275397877
CYP,2006,31469.4618636905
CYP,2007,32377.0715210736
CYP,2008,32725.6302483256
CYP,2009,31216.7645467282
CYP,2010,31023.6383309791
CYP,2011,30363.5100539824
CYP,2012,28873.6258339319
CYP,2013,27044.3091115132
CYP,2014,26834.011569903
CYP,2015,27897.9581709968
CYP,2016,29643.8388195732
CYP,2017,30650.244788011
CYP,2018,31506.9235229004
CYP,2019,32093.0265789587
CZE,2000,14889.0699168483
CZE,2001,15399.8926955896
CZE,2002,15671.8508458467
CZE,2003,16238.1279390281
CZE,2004,17014.6946151392
CZE,2005,18112.8675393284
CZE,2006,19286.2559769381
CZE,2007,20242.0992806842
CZE,2008,20614.1976855063
CZE,2009,19542.4692750929
CZE,2010,19960.0684872157
CZE,2011,20269.4874310085
CZE,2012,20082.2511927375
CZE,2013,20066.3755917313
CZE,2014,20498.7057499494
CZE,2015,21560.8262336715
CZE,2016,22065.4686395319
CZE,2017,23144.4087233262
CZE,2018,23800.9748558483
CZE,2019,24265.9892032481
DEU,2000,37934.4517828233
DEU,2001,38507.4737778722
DEU,2002,38366.6795456265
DEU,2003,38076.9815087939
DEU,2004,38532.7840538701
DEU,2005,38836.7757824923
DEU,2006,40364.4632067864
DEU,2007,41621.5118402428
DEU,2008,42101.0040357854
DEU,2009,39804.5722815573
DEU,2010,41531.9341978689
DEU,2011,43969.7074500187
DEU,2012,44070.9085651782
DEU,2013,44143.1278111535
DEU,2014,44930.7921305433
DEU,2015,45208.062454025
DEU,2016,45844.6381197286
DEU,2017,46862.0419736415
DEU,2018,47313.845816417
DEU,2019,47446.7298463769
DJI,2000,1343.26872994437
DJI,2001,1343.26872994437
DJI,2002,1343.26872994437
DJI,2003,1343.26872994437
DJI,2004,1343.26872994437
DJI,2005,1343.26872994437
DJI,2006,1343.26872994437
DJI,2007,1343.26872994437
DJI,2008,1343.26872994437
DJI,2009,1343.26872994437
DJI,2010,1343.26872994437
DJI,2011,1343.26872994437
DJI,2012,1343.26872994437
DJI,2013,1343.26872994437
DJI,2014,1343.26872994437
DJI,2015,1343.26872994437
DJI,2016,1343.26872994437
DJI,2017,1343.26872994437
DJI,2018,1343.26872994437
DJI,2019,1343.26872994437
DMA,2000,5578.8084461149
DMA,2001,5574.42444544108
DMA,2002,5403.07975303202
DMA,2003,5724.7994765532
DMA,2004,5875.80828474521
DMA,2005,5897.02359000568
DMA,2006,6160.49355571934
DMA,2007,6544.79032027381
DMA,2008,7007.66041912457
DMA,2009,6923.34180916383
DMA,2010,6967.26665433457
DMA,2011,6947.9662511963
DMA,2012,6869.64063635645
DMA,2013,6796.0642208357
DMA,2014,7091.45943295436
DMA,2015,6891.12022186837
DMA,2016,7055.00162486933
DMA,2017,6561.40740744775
DMA,2018,6696.54374244663
DMA,2019,6917.04972859397
DNK,2000,55850.6307584745
DNK,2001,56108.9590798817
DNK,2002,56190.8112370978
DNK,2003,56256.7557433867
DNK,2004,57608.7372228203
DNK,2005,58792.6604395229
DNK,2006,60892.7715824758
DNK,2007,61174.5416142733
DNK,2008,60504.7769609703
DNK,2009,57229.0398665344
DNK,2010,58041.3984363385
DNK,2011,58575.6078023978
