ISO,Year,WP
CPV,2002,3.96
CPV,2003,3.96
CPV,2004,3.96
CPV,2005,3.96
CPV,2006,3.96
CPV,2007,3.96
CPV,2008,3.96
CPV,2009,3.96
CPV,2010,3.96
CPV,2011,3.96
CPV,2012,3.96
CPV,2013,3.96
CPV,2014,3.96
CPV,2015,3.96
CPV,2016,3.96
CPV,2017,3.96
CPV,2018,3.96
CPV,2019,3.96
CRI,2000,0.8
CRI,2001,0.8
CRI,2002,0.8
CRI,2003,0.8
CRI,2004,0.8
CRI,2005,0.8
CRI,2006,0.8
CRI,2007,0.8
CRI,2008,0.8
CRI,2009,0.8
CRI,2010,0.8
CRI,2011,0.8
CRI,2012,0.8
CRI,2013,0.8
CRI,2014,0.8
CRI,2015,0.8
CRI,2016,0.8
CRI,2017,0.8
CRI,2018,0.8
CRI,2019,0.8
CUB,2000,0.0
CUB,2001,0.0
CUB,2002,0.0
CUB,2003,0.0
CUB,2004,0.0
CUB,2005,0.0
CUB,2006,0.0
CUB,2007,0.0
CUB,2008,0.0
CUB,2009,0.0
CUB,2010,0.0
CUB,2011,0.0
CUB,2012,0.0
CUB,2013,0.0
CUB,2014,0.0
CUB,2015,0.0
CUB,2016,0.0
CUB,2017,0.0
CUB,2018,0.0
CUB,2019,0.0
CYM,2000,6.27
CYM,2001,6.27
CYM,2002,6.27
CYM,2003,6.27
CYM,2004,6.27
CYM,2005,6.27
CYM,2006,6.27
CYM,2007,6.27
CYM,2008,6.27
CYM,2009,6.27
CYM,2010,6.27
CYM,2011,6.27
CYM,2012,6.27
CYM,2013,6.27
CYM,2014,6.27
CYM,2015,6.27
CYM,2016,6.27
CYM,2017,6.27
CYM,2018,6.27
CYM,2019,6.27
CYP,2000,1.71
CYP,2001,1.71
CYP,2002,1.71
CYP,2003,1.71
CYP,2004,1.71
CYP,2005,1.71
CYP,2006,1.71
CYP,2007,1.71
CYP,2008,1.71
CYP,2009,1.71
CYP,2010,1.71
CYP,2011,1.71
CYP,2012,1.71
CYP,2013,1.71
CYP,2014,1.71
CYP,2015,1.71
CYP,2016,1.71
CYP,2017,1.71
CYP,2018,1.71
CYP,2019,1.71
CZE,2000,2.06
CZE,2001,2.06
CZE,2002,2.06
CZE,2003,2.06
CZE,2004,2.06
CZE,2005,2.06
CZE,2006,2.06
CZE,2007,2.06
CZE,2008,2.06
CZE,2009,2.06
CZE,2010,2.06
CZE,2011,2.06
CZE,2012,2.06
CZE,2013,2.06
CZE,2014,2.06
CZE,2015,2.06
CZE,2016,2.06
CZE,2017,2.06
CZE,2018,2.06
CZE,2019,2.06
DEU,2000,2.83
DEU,2001,2.83
DEU,2002,2.83
DEU,2003,2.83
DEU,2004,2.83
DEU,2005,2.83
DEU,2006,2.83
DEU,2007,2.83
DEU,2008,2.83
DEU,2009,2.83
DEU,2010,2.83
DEU,2011,2.83
DEU,2012,2.83
DEU,2013,2.83
DEU,2014,2.83
DEU,2015,2.83
DEU,2016,2.83
DEU,2017,2.83
DEU,2018,2.83
DEU,2019,2.83
DJI,2000,0.78
DJI,2001,0.78
DJI,2002,0.78
DJI,2003,0.78
DJI,2004,0.78
DJI,2005,0.78
DJI,2006,0.78
DJI,2007,0.78
DJI,2008,0.78
DJI,2009,0.78
DJI,2010,0.78
DJI,2011,0.78
DJI,2012,0.78
DJI,2013,0.78
DJI,2014,0.78
DJI,2015,0.78
DJI,2016,0.78
DJI,2017,0.78
DJI,2018,0.78
DJI,2019,0.78
DMA,2000,1.27
DMA,2001,1.27
DMA,2002,1.27
DMA,2003,1.27
DMA,2004,1.27
DMA,2005,1.27
DMA,2006,1.27
DMA,2007,1.27
DMA,2008,1.27
DMA,2009,1.27
DMA,2010,1.27
DMA,2011,1.27
DMA,2012,1.27
DMA,2013,1.27
DMA,2014,1.27
DMA,2015,1.27
DMA,2016,1.27
DMA,2017,1.27
DMA,2018,1.27
DMA,2019,1.27
DNK,2000,3.15
DNK,2001,3.15
DNK,2002,3.15
DNK,2003,3.15
DNK,2004,3.15
DNK,2005,3.15
DNK,2006,3.15
DNK,2007,3.15
DNK,2008,3.15
DNK,2009,3.15
DNK,2010,3.15
DNK,2011,3.15
DNK,2012,3.15
DNK,2013,3.15
DNK,2014,3.15
DNK,2015,3.15
DNK,2016,3.15
DNK,2017,3.15
DNK,2018,3.15
DNK,2019,3.15
DOM,2000,1.03
DOM,2001,1.03
DOM,2002,1.03
DOM,2003,1.03
DOM,2004,1.03
DOM,2005,1.03
DOM,2006,1.03
DOM,2007,1.03
DOM,2008,1.03
DOM,2009,1.03
DOM,2010,1.03
DOM,2011,1.03
DOM,2012,1.03
DOM,2013,1.03
DOM,2014,1.03
DOM,2015,1.03
DOM,2016,1.03
DOM,2017,1.03
DOM,2018,1.03
DOM,2019,1.03
DZA,2000,0.08
DZA,2001,0.08
DZA,2002,0.08
DZA,2003,0.08
DZA,2004,0.08
DZA,2005,0.08
DZA,2006,0.08
DZA,2007,0.08
DZA,2008,0.08
DZA,2009,0.08
DZA,2010,0.08
DZA,2011,0.08
DZA,2012,0.08
DZA,2013,0.08
DZA,2014,0.08
DZA,2015,0.08
DZA,2016,0.08
DZA,2017,0.08
DZA,2018,0.08
DZA,2019,0.08
ECU,2000,0.65
ECU,2001,0.65
ECU,2002,0.65
ECU,2003,0.65
ECU,2004,0.65
ECU,2005,0.65
ECU,2006,0.65
ECU,2007,0.65
ECU,2008,0.65
ECU,2009,0.65
ECU,2010,0.65
ECU,2011,0.65
ECU,2012,0.65
ECU,2013,0.65
ECU,2014,0.65
ECU,2015,0.65
ECU,2016,0.65
ECU,2017,0.65
ECU,2018,0.65
ECU,2019,0.65
EGY,2000,0.05
EGY,2001,0.05
EGY,2002,0.05
EGY,2003,0.05
EGY,2004,0.05
EGY,2005,0.05
EGY,2006,0.05
EGY,2007,0.05
EGY,2008,0.05
EGY,2009,0.05
EGY,2010,0.05
EGY,2011,0.05
EGY,2012,0.05
EGY,2013,0.05
EGY,2014,0.05
EGY,2015,0.05
EGY,2016,0.05
EGY,2017,0.05
EGY,2018,0.05
EGY,2019,0.05
ERI,2000,0.53
ERI,2001,0.53
ERI,2002,0.53
ERI,2003,0.53
ERI,2004,0.53
ERI,2005,0.53
ERI,2006,0.53
ERI,2007,0.53
ERI,2008,0.53
ERI,2009,0.53
ERI,2010,0.53
ERI,2011,0.53
ERI,2012,0.53
ERI,2013,0.53
ERI,2014,0.53
ERI,2015,0.53
ERI,2016,0.53
ERI,2017,0.53
ERI,2018,0.53
ERI,2019,0.53
ESP,2000,2.14
ESP,2001,2.14
ESP,2002,2.14
ESP,2003,2.14
ESP,2004,2.14
ESP,2005,2.14
ESP,2006,2.14
ESP,2007,2.14
ESP,2008,2.14
ESP,2009,2.14
ESP,2010,2.14
ESP,2011,2.14
ESP,2012,2.14
ESP,2013,2.14
ESP,2014,2.14
ESP,2015,2.14
ESP,2016,2.14
ESP,2017,2.14
ESP,2018,2.14
ESP,2019,2.14
EST,2000,1.08
EST,2001,1.08
EST,2002,1.08
EST,2003,1.08
EST,2004,1.08
EST,2005,1.08
EST,2006,1.08
EST,2007,1.08
EST,2008,1.08
EST,2009,1.08
EST,2010,1.08
EST,2011,1.08
