ISO,Item,ICA
MYS,tobacco,11.2
MYS,vegetables,32.02
NAM,cotton,0.673
NAM,forage,1.7
NAM,maize,2.7
NAM,palm,0.4
NAM,vegetables,0.7
NAM,wheat,1.4
NER,cotton,0.415
NER,maize,0.419
NER,millet,1.194
NER,rice,13.543
NER,roots,0.21
NER,sorghum,1.543
NER,sugarcane,0.053
NER,vegetables,0.17
NER,wheat,0.203
NGA,cotton,8.0
NGA,maize,19.0
NGA,potatoes,24.0
NGA,rice,14.0
NGA,sugarcane,25.0
NGA,vegetables,117.0
NGA,wheat,19.0
NIC,bananas,33.796224
NIC,groundnut,0.91
NIC,maize,1.30856704
NIC,rice,41.6427616
NIC,sorghum,0.25792448
NIC,sugarcane,63.45343488
NIC,temporary crops,0.887
NIC,tobacco,1.88009536
NLD,fruit,15.0
NLD,maize,31.0
NLD,pastures,44.0
NLD,potatoes,55.0
NLD,sugar beet,16.0
NLD,vegetables,41.0
NOR,barley,28.8
NOR,cereals,14.3
NOR,fruit,1.8
NOR,potatoes,5.0
NOR,rapeseed,3.3
NOR,vegetables,1.8
NPL,forage,58.0
NPL,maize,580.0
NPL,rapeseed,36.0
NPL,rice,526.0
NPL,sugarcane,33.0
NPL,vegetables,31.0
NPL,wheat,645.0
NZL,cereals,23.0
NZL,flowers,3.3
NZL,forage,72.4
NZL,fruit,21.4
NZL,grapes,22.2
NZL,pastures,310.8
NZL,vegetables,27.1
NZL,wheat,28.8
OMN,bananas,2.436
OMN,barley,1.171
OMN,cereals,3.256
OMN,citrus,1.232
OMN,coconut,0.4492
OMN,dates,32.752
OMN,forage,15.817
OMN,other permanent crop,1.733
OMN,potatoes,0.3097
OMN,sorghum,2.346
OMN,sugarcane,0.0399
OMN,vegetables,5.229
OMN,wheat,0.3105
PAK,bananas,35.558
PAK,barley,81.99
PAK,citrus,199.369
PAK,cotton,3054.3
PAK,forage,2459.5
PAK,fruit,560.046
PAK,groundnut,9.012
PAK,maize,946.53
PAK,millet,477.54
PAK,potatoes,154.317
PAK,pulses,1006.441
PAK,rapeseed,201.6
PAK,rice,2515.4
PAK,sesame,69.915
